Слово,Пиньинь,Перевод слова
['顺序'],['shùnxù'],['порядок; очередь; по порядку; по очереди']
['说不定'],['shuōbudìng'],"['возможно; может быть; кто знает...; может случиться, что...']"
['说服'],['shuōfú'],"['уговорить, убедить; убеждение']"
['思考'],['sīkǎo'],"['азмышлять, продумывать; анализировать; мыслить; мысль']"
['似乎'],['sìhū'],"['похоже, что...; кажется, по-видимому, как будто']"
['松'],['sōng'],"['сосна; сосновый; взлохмаченный, всклокоченный; распуститься, развязаться']"
['松树'],['sōngshù'],['сосна']
['塑料'],['sùliào'],"['пластмасса, пластик']"
['塑料袋'],['sùliàodài'],['пластиковый пакет']
['酸'],['suān'],['кислый; прокиснуть; (хим.) кислота; ныть; болеть']
['酸奶'],['suānnǎi'],['йогурт']
['随手'],['suíshǒu'],"['сразу, тотчас; по ходу дела, тут же; попутно, по пути']"
['孙女'],['sūnnǚ'],['внучка']
['孙子'],['sūnzi'],['дети и внуки; внук (сын сына)']
['缩短'],['suōduǎn'],"['укорачивать; сокращать; сжимать; сжатый, короткий']"
['缩小'],['suōxiǎo'],"['уменьшать(ся), сжимать(ся), суживать(ся)']"
['台阶'],['táijiē'],"['лестница; ступени лестницы; перен. ступень; продвижение по службе, служебной лестнице']"
['台上'],['táishàng'],['на сцене']
['躺'],['tǎng'],['лечь; лежать (о человеке)']
['套餐'],['tàocān'],"['комплект блюд, сэт, комбо; пакет услуг']"
['特价'],['tèjià'],"['специальная цена, сниженная цена']"
['特殊'],['tèshū'],"['особый, специфический, частный; своеобразный; оригинальный']"
['特征'],['tèzhēng'],['характерный признак; отличительная черта']
['提供'],['tígōng'],"['предоставлять, поставлять, снабжать, обеспечивать; обеспечение, поставка, предоставление']"
['提醒'],['tí xǐng'],"['напоминать, делать напоминание, обращать внимание, уведомление; замечание']"
['体操'],['tǐcāo'],['гимнастика']
['体检'],['tǐjiǎn'],['медицинский осмотр; проходить медицинский осмотр']
['体重'],['tǐzhòng'],"['вес тела, масса тела']"
['替'],['tì'],"['отменять, упразднять, аннулировать; сбрасывать со счетов, списывать (в расход)']"
['替代'],['tìdài'],"['заменять, замещать; замена, альтернатива']"
['天真'],['tiānzhēn'],['наивный; непосредственный']
['填'],['tián'],"['заполнять (документ); восполнять (недостаток чего-либо); заполнять, набивать']"
['填空'],['tián kòng'],['заполнять пустые места']
['挑'],['tiāo'],"['нести на коромысле, нести на плечах; выбирать, отбирать, избирать; груз, ноша']"
['挑选'],['tiāoxuǎn'],"['выбирать, подбирать']"
['调皮'],['tiáopí'],"['капризный, непослушный, баловаться, озорничать  ']"
['挑'],['tiǎo'],"['возбуждать, вызывать; провоцировать, подстрекать; поднимать; приподнимать, подбирать']"
['挑战'],['tiǎo zhàn'],"['вызов, проблема, бросать вызов']"
['贴'],['tiē'],['клеить; держаться близко к; помогать (деньгами)']
['停下'],['tíngxià'],"['останавливаться, остановиться']"
['挺'],['tǐng'],"['выпячивать; выдерживать, сносить']"
['通知书'],['tōngzhīshū'],['письменное уведомление']
['同情'],['tóngqíng'],"['сочувствие, симпатия; солидарность; сочувствовать, симпатизировать']"
['童话'],['tónghuà'],"['детский рассказ, сказка']"
['童年'],['tóngnián'],"['детство, детские годы']"
['统计'],['tǒngjì'],['статистика; статистический; учесть; подсчитать; учёт']
['统一'],['tǒngyī'],['объединить(ся); объединение; единый; единство']
['痛快'],['tòngkuài'],"['весёлый, радостный']"
['投'],['tóu'],"['отправлять, посылать; бросать, кидать; бросаться в; соглашаться с; проектировать; класть в, вкладывать; участвовать в, присоединяться; (разг.) полоскать']"
['投入'],['tóurù'],"['вложить (средства); (капитало)вложения, ввести (напр., в действие), броситься (напр., в объятия); вступить (напр., в бой)']"
['投诉'],['tóusù'],"['жалоба; жаловаться, подавать жалобу']"
['投资'],['tóuzī'],"['инвестировать, вкладывать капитал; капиталовложение, инвестиция']"
['透'],['tòu'],"['раскрывать, обнаруживать; полный, исчерпывающий']"
['透明'],['tòumíng'],['прозрачный; пропускать свет']
['图案'],['túàn'],"['орнамент; узор; рисунок (напр., ткани); схема; чертёж']"
['途中'],['túzhōng'],"['в пути, на пути, по дороге']"
['土地'],['tǔdì'],"['земля; почва, земельный, территория']"
['推迟'],['tuīchí'],"['спускать на тормозах, замедлять; отсрочивать; откладывать; не торопиться (с чём-либо)']"
['推销'],['tuīxiāo'],"['сбывать, реализовать; сбыт, реализация']"
['脱'],['tuō'],"['снять (одежду, обувь); слезать (о коже); выпасть (о волосах); опасть (о листьях); пропустить']"
['袜子'],['wàzi'],['носки']
['外汇'],['wàihuì'],['заграничный денежный перевод; валюта']
['外交官'],['wàijiāoguān'],['дипломат']
['外套'],['wàitào'],"['пальто, шинель, верхнее платье, куртка']"
['弯'],['wān'],"['гнуть, сгибать; изогнутый, извилистый; изгиб, поворот']"
['晚点'],['wǎn diǎn'],"['опаздывать, задерживаться, отставать от графика']"
['万一'],['wànyī'],"['мельчайшая часть, ничтожная доля; на случай если бы...; если бы по чистой случайности; случай, случайность; в крайнем случае']"
['王'],['wáng'],"['князь; царь, король; император, государь, монарх; княжеский, царский, королевский; государев; царствовать, княжить']"
['网络'],['wǎngluò'],['Интернет; сеть']
['网址'],['wǎngzhǐ'],"['адрес в Интернете, URL']"
['微笑'],['wēixiào'],['(лёгкая) улыбка; улыбаться']
['微信'],['wēixìn'],['Вичат']
['围巾'],['wéijīn'],['шаль; шарф; кашне']
['维持'],['wéichí'],"['поддерживать, сохранять; защищать; обеспечивать']"
['维护'],['wéihù'],"['защищать, оберегать, охранять; (тех.) уход, обслуживание; хранить, сохранять']"
['维修'],['wéixiū'],"['профилактический ремонт, техническое обслуживание']"
['尾巴'],['wěiba'],['хвост']
['未必'],['wèibì'],"['вряд ли, едва ли; не обязательно']"
['未来'],['wèilái'],"['будущее, грядущее; будущий']"
['位于'],['wèiyú'],['располагаться; находиться']
['位置'],['wèizhi'],"['позиция, местонахождение; положение; ориентация; место, пост']"
['味儿'],['wèir'],"['вкус, запах; интерес; тон, акцент']"
['喂'],['wèi'],"['кормить (человека), давать пищу (животному)']"
['稳'],['wěn'],"['устойчивый, стабильный, крепкий; (о человеке) степенный, надежный; точный, уверенный; делать стабильным, стабилизировать']"
['稳定'],['wěndìng'],['стабильный; устойчивый; стабилизировать; стабильность; устойчивость']
['问候'],['wènhòu'],['приветствовать; справляться о здоровье (самочувствии); передавать привет']
['无'],['wú'],['не; не иметь; без']
['无法'],['wúfǎ'],"['не находить способа, быть не в силах']"
['无聊'],['wúliáo'],['скука; скучный; бессмысленный; пустой; неинтересный']
['无论'],['wúlùn'],"['независимо от ч-л; несмотря на то, что']"
['无数'],['wúshù'],['бесчисленный; несметный']
['无所谓'],['wúsuǒwèi'],"['несущественно; не имеет значения; всё равно; трудно сказать, нельзя сказать']"
['无限'],['wúxiàn'],"['неограниченный, бесконечный']"
['五颜六色'],['wǔyán-liùsè'],"['разноцветный, красочный']"
['误会'],['wùhuì'],"['ошибочно понимать, иметь неправильное представление; недоразумение']"
['西瓜'],['xīguā'],['арбуз']
['吸'],['xī'],['впитывать; всасывать; привлекать']
['吸管'],['xīguǎn'],"['соломинка, трубочка']"
['吸收'],['xīshōu'],"['всасывать, впитывать, поглощать; всасывание; (хим., физ.) абсорбция; абсорбировать']"
['吸烟'],['xīyān'],['курить']
['吸引'],['xīyǐn'],['вовлекать; привлекать; перен.втягивать']
['喜爱'],['xǐài'],['любить; нравиться']
['系列'],['xìliè'],"['серия, коллекция; ряд']"
['系统'],['xìtǒng'],"['система; порядок; формация; системный, систематичный, упорядоченный; блок, агрегат']"
['细'],['xì'],"['тонкий, стройный; неважный, маленький; узкий; слабый; (о голосе, звуке) мягкий; мелкий, крошечный; тонкий, деликатный; тщательный']"
['细节'],['xìjié'],"['мелочи; детали, подробности; детальный, подробный']"
['细致'],['xìzhì'],"['кропотливый, тщательный, детальный; тонкий; филигранный; точный']"
['下个月'],['xiàgèyuè'],['следующий месяц']
['下降'],['xiàjiàng'],"['снижаться, опускаться, падать']"
['下楼'],['xià lóu'],"['идти вниз, спускаться']"
['下载'],['xiàzǎi'],"['загружать, скачивать']"
['夏季'],['xiàjì'],['летний сезон; лето']
['鲜'],['xiān'],"['свежий; (о красках) яркий; вкусный, приятный на вкус']"
['鲜花'],['xiānhuā'],['свежие цветы']
['鲜明'],['xiānmíng'],"['яркий; отчётливый, чёткий, ясный']"
['咸'],['xián'],['соленый']
['显著'],['xiǎnzhù'],"['очевидный, явный, всем известный, несомненный']"
['县'],['xiàn'],['уезд (админ. единица) ; уездный']
['限制'],['xiànzhì'],['ограничить; ограничение; ограниченный']
['相处'],['xiāngchǔ'],['вместе жить; вместе работать; обходиться друг с другом; сосуществовать']
['相反'],['xiāngfǎn'],['противоположный; противоположность; напротив; наоборот']
['箱'],['xiāng'],"['ящик, чемодан; предмет в форме ящика']"
['箱子'],['xiāngzi'],"['сундук, ящик, чемодан']"
['想念'],['xiǎngniàn'],"['думать, скучать, беспокоиться (о ком-либо)']"
['想象'],['xiǎngxiàng'],"['воображать, представлять, фантазировать']"
['项'],['xiàng'],"['тыльная часть шеи, шея, затылок; пункт; раздел; объект также сч. сл.']"
['项目'],['xiàngmù'],"['пункт, статья, рубрика, перечень, наименование; проект, объект (напр. строительства)']"
['相片'],['xiàngpiàn'],"['фотография, фото']"
['消化'],['xiāohuà'],['переваривать (также перен.); пищеварение; пищеварительный']
['销售'],['xiāoshòu'],"['продавать, сбывать; реализовать; сбыт, продажа']"
['小吃'],['xiǎochī'],['дежурные блюда; закуски; холодные блюда']
['小伙子'],['xiǎohuǒzi'],"['молодой человек, парень']"
['小型'],['xiǎoxíng'],"['малый, маленький, малого размера']"
['效率'],['xiàolǜ'],['эффективность; коэффициент полезного действия']
['些'],['xiē'],"['некоторые, несколько сч. слово, указывающее на множественно число']"
['心理'],['xīnlǐ'],['психика; психический; психология; психологический']
['新郎'],['xīnláng'],['молодой; новобрачный; жених']
['新娘'],['xīnniáng'],['молодая; новобрачная; невеста']
['新鲜'],['xīnxiān'],['свежий']
['新型'],['xīnxíng'],"['новый тип, новый образец']"
['兴奋'],['xīngfèn'],"['волноваться, быть возбуждённым; испытывать подъём (воодушевление); волнение, возбуждение']"
['形容'],['xíngróng'],"['лицо; внешний вид, наружность; выражать; отображать; описывать; описание']"
['形势'],['xíngshì'],['положение; ситуация; обстановка; рельеф']
['型'],['xíng'],"['шаблон; тип, модель; форма; образец']"
['型号'],['xínghào'],"['модель, тип']"
['醒'],['xǐng'],['проснуться; очнуться; протрезвиться; прийти в себя']
['兴趣'],['xìngqù'],['интерес']
['性质'],['xìngzhì'],"['характер, натура, природа; свойство, качество, особенность']"
['兄弟'],['xiōngdì'],['братья; братский']
['胸部'],['xiōngbù'],['грудь']
['修理'],['xiūlǐ'],"['поправлять; ремонтировать; починка; реставрация; подстригать, подрезать']"
['选择'],['xuǎnzé'],"['выбирать, выбор, альтернатива']"
['学分'],['xuéfēn'],"['(в образовании) кредит, зачетная единица']"
['学年'],['xuénián'],"['учебный год, академический год']"
['学时'],['xuéshí'],['академический час']
['学术'],['xuéshù'],"['наука; знание, умение; научный']"
['学问'],['xuéwèn'],"['наука; знания; образованность, учёность, эрудиция']"
['寻找'],['xúnzhǎo'],['искать; изыскивать; поиски']
['迅速'],['xùnsù'],"['быстрый, скорый, стремительный; быстрая скорость']"
['牙'],['yá'],"['зуб, зубец; слоновая кость']"
['牙刷'],['yáshuā'],['зубная щетка']
['亚运会'],['Yàyùnhuì'],['Азиатские игры']
['呀'],['ya'],"['межд.. выражает удивление, недоумение; досаду: ой!, ого!, эх!, нда!']"
['延长'],['yáncháng'],"['удлинить; продлить; увеличить (длину), продлить; отсрочить']"
['延期'],['yán qī'],"['отсрочить, отложить, продлить срок, пролонгировать; отсрочка']"
['延续'],['yánxù'],"['продолжать(ся), тянуть(ся); длиться; продолжение']"
['严'],['yán'],"['строгий, суровый; сильный, лютый; тесный, плотный']"
['严格'],['yángé'],"['строгий; точный, чёткий']"
['严重'],['yánzhòng'],"['серьёзный, тяжёлый; опасный, критический; решительный, строгий']"
['研究'],['yánjiū'],"['изучать, исследовать; рассматривать; обсуждать']"
['研究生'],['yánjiūshēng'],['аспирант']
['研制'],['yánzhì'],"['разработать, разрабатывать и производить, вести разработку, исследование и производство']"
['盐'],['yán'],['соль']
['眼镜'],['yǎnjìng'],['очки']
['眼泪'],['yǎnlèi'],['слезы']
['眼里'],['yǎnli'],"['в глазах; полагать в душе, по мнению ..']"
['演讲'],['yǎnjiǎng'],"['доклад; лекция; речь, читать лекцию; делать доклад']"
['阳台'],['yángtái'],['балкон']
['养成'],['yǎngchéng'],"['воспитывать, культивировать, развивать, выработать, привить, взращивать']"
['腰'],['yāo'],['талия; поясница']
['摇'],['yáo'],"['трясти, сотрясать; колебать, качать, шатать; махать; ворошить; взбалтывать']"
['药物'],['yàowù'],"['медикаменты, лекарства']"
['要'],['yào'],['впереди сказуемого условного предложения: если [хочешь]...; если бы...']
['业余'],['yèyú'],"['в свободное от работы время; без отрыва от производства, любительский; самодеятельный']"
['叶子'],['yèzi'],"['лист; листва, листья; страница, листок']"
['医疗'],['yīliáo'],"['лечить, предоставлять медицинскую помощь']"
['医学'],['yīxué'],"['медицинская наука, медицина']"
['依靠'],['yīkào'],"['полагаться, опираться; опора']"
['依然'],['yīrán'],['по-прежнему; всё ещё']
['一律'],['yílǜ'],"['одинаковый, идентичный; одинаково, в равной мере; все поголовно, все как один']"
['一再'],['yízài'],"['ещё и ещё раз, повторно, неоднократно, вновь и вновь']"
['一致'],['yízhì'],"['единодушный; единогласный; единый; единство, совпадать, сходство']"
['移'],['yí'],"['перемещать(ся), передвигать(ся); изменять(ся)']"
['移动'],['yídòng'],"['двигать(ся); перемещать(ся); передвигать(ся), передвижение; перемещение']"
['移民'],['yímín'],"['переселенец, мигрант; эмигрант; иммигрант; эмигрировать, переезжать за границу, переселять народ']"
['遗产'],['yíchǎn'],['наследство; наследие']
['遗传'],['yíchuán'],"['передаваться по наследству; наследство, унаследование, наследственная передача']"
['疑问'],['yíwèn'],['сомнение; вопрос']
['以及'],['yǐjí'],"['и; а также; а равно; до, вплоть до, и даже']"
['以内'],['yǐnèi'],"['внутри, в пределах, менее чем, не более чем']"
['一般来说'],['yìbānláishuō'],"['вообще говоря, в общем']"
['义务'],['yìwù'],['долг; обязанность; обязательный; добровольный']
['议论'],['yìlùn'],"['обсуждать; рассуждать, судить; рассуждение; суждение']"
['引'],['yǐn'],"['вести, направлять; вызывать; заставлять; цитировать']"
['引导'],['yǐndǎo'],"['направлять, вести за собой, лидировать; показывать дорогу']"
['引进'],['yǐnjìn'],"['внедрять, привлекать, заимствовать (напр., из- за рубежа)']"
['引起'],['yǐnqǐ'],['возбуждать; вызывать']
['应'],['yīng'],"['перед глаголом в составе глагольной конструкции выражает долженствование (быть должным; должно, следует; необходимо; приходится); как вводное слово выражает вероятность (должно быть, вероятно, по всей видимости)']"
['英勇'],['yīngyǒng'],"['доблестный, героический, отважный; героизм, отвага']"
['营业'],['yíngyè'],"['предприятие, дело, промысел, вести дело, действовать, работать']"
['赢得'],['yíngdé'],"['получать, добиваться, заслужить']"
['影子'],['yǐngzi'],"['тень; теневой; отражение (напр., в зеркале); след (напр., в памяти)']"
['勇敢'],['yǒnggǎn'],"['храбрый, смелый']"
['勇气'],['yǒngqì'],"['смелость, храбрость, отвага; мужество']"
['用途'],['yòngtú'],['применение; назначение; употребление']
['优良'],['yōuliáng'],"['хороший, прекрасный, отличный, замечательный, превосходный']"
['优美'],['yōuměi'],['прекрасный; красивый; изящный']
['优秀'],['yōuxiù'],"['лучший, превосходный; выдающийся; отличный, прекрасный, замечательный; высшего качества']"
['邮局'],['yóujú'],['почтовое отделение; почтовая контора; почта']
['有劲儿'],['yǒu jìnr'],"['сильный, полный энергии; занятный, увлеченный']"
['有趣'],['yǒuqù'],"['интересный, занимательный, увлекательный, живой; любопытный']"
['有限'],['yǒuxiàn'],"['ограниченный, конечный']"
['幼儿园'],['yòuéryuán'],['детский сад']
['于是'],['yúshì'],"['и тогда, после этого, поэтому, в результате']"
['语法'],['yǔfǎ'],['грамматика']
['语音'],['yǔyīn'],"['произношение; (компьютер, телефон) звук речи, голос, речь']"
['玉'],['yù'],"['жад, жадеит, нефрит, яшма']"
['玉米'],['yùmǐ'],"['кукуруза, маис']"
['预测'],['yùcè'],"['предсказывать, прогнозировать; предсказание, прогноз']"
['预订'],['yùdìng'],"['заказать; забронировать (напр., место в театре)']"
['遇'],['yù'],"['встречаться, сталкиваться']"
['遇到'],['yùdào'],"['повстречаться с..., столкнуться с...']"
['遇见'],['yùjiàn'],['встречать(ся)']
['原料'],['yuánliào'],"['сырьё, необработанный материал, сырьевые ресурсы']"
['原则'],['yuánzé'],['принцип; основные положения']
['圆'],['yuán'],"['круглый; округлый, полный; полный, достаточный']"
['圆满'],['yuánmǎn'],"['полный, круглый; вполне законченный; удовлетворительный, положительный']"
['约会'],['yuēhuì'],['договориться о свидании; назначить встречу; свидание']
['月底'],['yuèdǐ'],['конец месяца']
['阅读'],['yuèdú'],['читать; чтение']
['运动会'],['yùndònghuì'],"['спортивные состязания, спартакиада']"
['运动员'],['yùndòngyuán'],['спортсмен']
['运气'],['yùnqi'],['судьба; удел; счастье; фортуна']
['运用'],['yùnyòng'],['применять; использовать']
['再三'],['zàisān'],"['неоднократно, многократно, много раз, снова и снова']"
['在乎'],['zàihu'],['принимать близко к сердцу; беспокоиться']
['在于'],['zàiyú'],"['заключаться в чём-либо; состоять в чём- либо, зависеть от чего-либо; определяться чем-либо']"
['赞成'],['zànchéng'],['одобрить; согласиться']
['赞赏'],['zànshǎng'],"['хвалить, высоко оценивать']"
['赞助'],['zànzhù'],"['спонсировать; помогать, содействовать или поддерживать материально']"
['造型'],['zàoxíng'],['(тех.) формовка; формовочный; изображать; изображение']
['战斗'],['zhàndòu'],['бой; сражение; сражаться; боевой']
['战胜'],['zhànshèng'],"['побеждать, преодолевать, одерживать победу над']"
['战士'],['zhànshì'],"['солдат; (обр.) боец, борец, воин']"
['战争'],['zhànzhēng'],['война; военные действия']
['丈夫'],['zhàngfu'],"['муж, супруг']"
['招呼'],['zhāohu'],"['приветствовать, здороваться (словом или действием); звать; говорить, уведомлять; присматривать; приветствие']"
['着'],['zháo'],"['подвергнуться чему-либо; испытать; достигнуть, коснуться (чего-либо); засыпать; загореться, зажечься']"
['着火'],['zháo huǒ'],['загореться; пожар']
['着急'],['zháo jí'],"['волноваться, торопиться']"
['召开'],['zhàokāi'],"['созывать, устраивать']"
['折'],['zhé'],['переломить(ся); терпеть убытки; изгибать(ся); изгиб; вернуться; пересчитывать; складывать; складной']
['针'],['zhēn'],"['игла, булавка; предмет в форме иглы; укол, инъекция; стежок; иглоукалывание, акупунктура']"
['针对'],['zhēnduì'],"['акцентировать; касательно, по отношению, относительно к..., направить на (против)']"
['阵'],['zhèn'],"['боевой порядок; позиция; сч. сл. для явлений природы и т.д, период времени (короткий); время']"
['争论'],['zhēnglùn'],"['спорить, полемизировать, дискутировать; спор, полемика, дискуссия']"
['征服'],['zhēngfú'],"['одолевать, покорять; подавление; подчинение; (перен.) переубеждать, убеждать']"
['征求'],['zhēngqiú'],"['запрашивать, искать; собирать, набирать, вербовать']"
['政府'],['zhèngfǔ'],"['правительство; правительственный, управление (местное); муниципалитет']"
['政治'],['zhèngzhì'],"['политика, политический']"
['之后'],['zhīhòu'],"['после, потом']"
['之间'],['zhījiān'],['между']
['之前'],['zhīqián'],"['до, перед, раньше, прежде, (тому) назад']"
['之一'],['zhīyī'],['один из']
['支'],['zhī'],['подпирать; выносить; поддерживать; торчать; высылать; платить или получать']
['植物'],['zhíwù'],"['растение; растительность, растительный; флора']"
['指挥'],['zhǐhuī'],"['командовать; руководить; управлять; (прям., перен.) дирижировать; командир; дирижёр']"
['制订'],['zhìdìng'],"['составлять, разрабатывать']"
['质量'],['zhìliàng'],['качество; качественный; (физ.) масса']
['治'],['zhì'],"['управлять, контролировать; лечить; уничтожать (вредных насекомых)']"
['治疗'],['zhìliáo'],['лечить; лечение; терапия']
['智力'],['zhìlì'],"['рассудок; ум, интеллект; умственные способности']"
['智能'],['zhìnéng'],"['ум, интеллект; разум; способности']"
['中介'],['zhōngjiè'],['посредничество; посреднический; посредник; агент']
['种类'],['zhǒnglèi'],['вид; род; категория']
['中奖'],['zhòng jiǎng'],['выигрывать в лотерею']
['种'],['zhòng'],['сеять; сажать; выращивать; делать прививку']
['种植'],['zhòngzhí'],"['сеять, засевать; сажать; выращивать; насаждения, посадки']"
['重量'],['zhòngliàng'],['вес']
['逐步'],['zhúbù'],"['шаг за шагом; постепенно, последовательно']"
['逐渐'],['zhújiàn'],"['постепенно, последовательно; постепенный, последовательный']"
['主题'],['zhǔtí'],"['основной вопрос, главная тема; сюжет, фабула; тематический, сюжетный']"
['主席'],['zhǔxí'],"['председатель; председательствующий; распорядитель пира, тамада; председательствовать, возглавлять']"
['祝福'],['zhùfú'],"['желать счастья, молиться о счастье; пожелание счастья, наилучшие пожелания']"
['著名'],['zhùmíng'],"['знаменитый, известный, прославленный; прославиться']"
['著作'],['zhùzuò'],['произведение; труд; сочинять']
['抓紧'],['zhuā jǐn'],"['крепко ухватиться за...; как следует взяться за...; не упустить, вплотную взяться за (работу)']"
['专心'],['zhuānxīn'],['сосредоточиться; сосредоточить внимание на чём-либо; сосредоточенно']
['转动'],['zhuǎndòng'],"['вращать(ся), вертеть(ся), поворачивать(ся) (вокруг оси); двигаться, перемещаться']"
['转告'],['zhuǎngào'],"['передавать, сообщать']"
['转身'],['zhuǎn shēn'],['(о человеке) поворачиваться']
['转弯'],['zhuǎn wān'],"['поворачивать, заворачивать; поворот, угол улицы']"
['转移'],['zhuǎnyí'],"['перемещать(ся) (напр., о войсках); изменять; переменять']"
['装修'],['zhuāngxiū'],"['отделывать; отделка, ремонт (квартиры); реставрировать; обустраивать']"
['装置'],['zhuāngzhì'],"['монтировать, устанавливать, оборудовать; установка, приспособление, устройство']"
['追求'],['zhuīqiú'],['стремиться к; гнаться; перен. искать; поиск; ухаживать (за женщиной); добиваться расположения']
['准时'],['zhǔnshí'],['вовремя; в установленное время; своевременно; пунктуальный']
['资料'],['zīliào'],"['материалы, данные; средства; материальные блага']"
['资源'],['zīyuán'],['ресурс; источник средств']
['自'],['zì'],"['сам, себя']"
['自信'],['zìxìn'],"['верить самому себе; быть уверенным в себе (в своих способностях, силах); самоуверенность']"
['字母'],['zìmǔ'],['буква; алфавит; алфавитный']
['综合'],['zōnghé'],['обобщать; суммировать; комплекс; комплексный; синтез; синтезировать; синтетический']
['总共'],['zǒnggòng'],"['всего, в сумме, итого, в общей сложности']"
['总理'],['zǒnglǐ'],['премьер; премьер-министр; канцлер']
['总统'],['zǒngtǒng'],['президент']
['总之'],['zǒngzhī'],"['в общем, в итоге; резюмируя; короче говоря']"
['阻止'],['zǔzhǐ'],"['останавливать, прекращать; препятствовать, задерживать, удерживать; преграждать; предупреждать']"
['嘴巴'],['zuǐba'],['рот']
['最初'],['zuìchū'],['в самом начале; первоначально; сначала; вначале']
['作出'],['zuòchū'],"['придумывать; принимать решение; делать (предложение, вывод, суждение); давать (объяснение); выдавать (разрешение); произносить (речь); извлекать']"
['作为'],['zuòwéi'],['действия; поступки; успехи; достижения; рассматривать в качестве; принимать за; будучи; в качестве']
['做梦'],['zuò mèng'],"['видеть сон, мечтать']"
